TV_ID,Dialogue_ID,Utterance_ID,Speaker,Gender,Age,Neuroticism,Extraversion,Openness,Agreeableness,Conscientiousness,Scene,FacePosition_LU,FacePosition_RD,Sentiment,Emotion,DA,Utterance
1,01_000,01_000_000_merged,童文洁,female,middle-aged,high,high,low,low,high,other-venue,108_136,156_202,neutral,neutral,greeting,What a coincidence The car is fine
1,01_000,01_000_002_merged,刘静,female,middle-aged,low,high,high,high,high,other-venue,0_0,0_0,neutral,neutral,answer,"It's you! It's fine, it's fine, thank you"
1,01_000,01_000_003_merged,童文洁,female,middle-aged,high,high,low,low,high,other-venue,0_0,0_0,neutral,neutral,question,"It's fine, it's fine, you go to Spring Breeze too"
1,01_001,01_001_000_merged,刘静,female,middle-aged,low,high,high,high,high,other-venue,0_0,0_0,neutral,neutral,answer,Right
1,01_001,01_001_001_merged,童文洁,female,middle-aged,high,high,low,low,high,other-venue,0_0,0_0,neutral,neutral,question,Your child also goes to school here
1,01_001,01_001_002_merged,刘静,female,middle-aged,low,high,high,high,high,other-venue,173_75,250_186,neutral,neutral,answer,That's right
1,01_002,01_002_000_merged,童文洁,female,middle-aged,high,high,low,low,high,other-venue,445_62,543_189,neutral,neutral,"statement-non-opinion, question","What a coincidence, my son is also here What grade is your child in?"
1,01_002,01_002_002_merged,刘静,female,middle-aged,low,high,high,high,high,other-venue,271_123,315_171,neutral,neutral,answer,He's in the third year of high school
1,01_002,01_002_003_merged,童文洁,female,middle-aged,high,high,low,low,high,other-venue,368_128,422_170,neutral,neutral,question,Which class?
1,01_003,01_003_000_merged,刘静,female,middle-aged,low,high,high,high,high,other-venue,258_104,299_153,neutral,neutral,answer,Class three
1,01_003,01_003_001_merged,童文洁,female,middle-aged,high,high,low,low,high,other-venue,376_94,427_153,neutral,neutral,"statement-non-opinion, question",My son is also in class three My son's name is Fang Yifan What is your child's name?
1,01_003,01_003_004_merged,刘静,female,middle-aged,low,high,high,high,high,other-venue,228_131,274_188,neutral,neutral,answer,My son's name is Ji Yangyang
1,01_004,01_004_000_merged,童文洁,female,middle-aged,high,high,low,low,high,other-venue,411_130,456_198,neutral,neutral,"statement-non-opinion, interjection","Ji Yangyang, I think I've heard Fang Fang mention him That's right Isn't it true that every time there's a parent-teacher meeting, it’s always his dad who comes?"
1,01_004,01_004_003_merged,刘静,female,middle-aged,low,high,high,high,high,other-venue,212_70,309_178,neutral,neutral,statement-non-opinion,That’s his uncle
1,01_004,01_004_004_merged,童文洁,female,middle-aged,high,high,low,low,high,other-venue,428_83,532_218,neutral,neutral,statement-opinion,I was wondering why he looked so young
1,01_005,01_005_000_merged,方一凡,male,teenager,low,high,high,high,low,car,171_106,269_211,positive,relaxed,other,Mom
1,01_005,01_005_001_merged,童文洁,female,middle-aged,high,high,low,low,high,car,432_126,432_126,negative,anger,irony,Don't call me mom I'm not your mom
1,01_005,01_005_003_merged,方一凡,male,teenager,low,high,high,high,low,car,264_95,432_285,negative,depress,apology,"Mom, I was wrong"
1,01_005,01_005_004_merged,童文洁,female,middle-aged,high,high,low,low,high,car,567_66,792_364,negative,anger,"statement-non-opinion, statement-opinion, question, irony","You're not wrong I was wrong Why did I give birth to you? I must have been full when I decided to have you Fang Yifan, I really don't understand what you think about all day Do you really not know what grade you're in now? You don't know that I've told you. You're in the third year of high school now. You're no longer in the first or second year. You say. You say you study every day. You don't learn well, but you're clear about fighting; I signed you up for a tutoring class for a summer. I originally hoped you would study hard and get better. As a result, it's a sharp decline. Do you think you can face me? How did your mom talk to you in her third year?"
1,01_005,01_005_020_merged,方一凡,male,teenager,low,high,high,high,low,car,325_84,494_297,negative,depress,statement-non-opinion,"Mathematics 92. Chemistry 91. Except for English, which is just okay. Everything else is particularly great."
1,01_005,01_005_024_merged,童文洁,female,middle-aged,high,high,low,low,high,car,630_70,788_356,negative,anger,"question, other",Why don't you resemble me at all? Fan Fan.
1,01_006,01_006_000_merged,方一凡,male,teenager,low,high,high,high,low,car,27_44,220_313,negative,anger,statement-opinion,I take after my dad.
1,01_006,01_006_001_merged,童文洁,female,middle-aged,high,high,low,low,high,car,639_62,795_370,negative,"anger, disgust","statement-non-opinion, statement-opinion",You didn't take after your dad either. Your dad is also a top student. His grades were also very good back then. Only in these past two years has he fallen off. He has lost his ambition. And what are you doing with that turtle?
1,01_007,01_007_000_merged,方一凡,male,teenager,low,high,high,high,low,car,453_108,580_252,neutral,neutral,"statement-non-opinion, statement-opinion, other","I actually gave you a bit of roast duck, you know? Later, you'll eat more. You finished that whole duck. Then drink more duck soup. It helps reduce heat in your body. And didn't we say we still have to go to the supermarket?"
1,01_007,01_007_006_merged,童文洁,female,middle-aged,high,high,low,low,high,car,399_60,541_231,negative,depress,"interjection, statement-opinion","Fang Yifan, you can remember everything Supermarket and roast duck again You just can't remember your studies Is that so?"
1,01_007,01_007_010_merged,方一凡,male,teenager,low,high,high,high,low,car,261_96,440_278,"neutral, negative","depress, negative-other, neutral","statement-non-opinion, statement-opinion","Mom, actually I'm helping you remember Isn't that what you said? You said your studious brother is coming You need to take good care of him Can't let him be bullied at school We're just going to the supermarket to buy him some daily necessities Don't come if there's nothing I've remembered it for you Don't be angry"
1,01_007,01_007_019_merged,童文洁,female,middle-aged,high,high,low,low,high,car,240_67,414_293,"negative, neutral","anger, depress, neutral","question, statement-non-opinion, statement-opinion, command","Fan Fan, Lei Lei is here You really need to be more understanding Lei Lei's mom is gone His dad isn't very nice to him and doesn't care Ends up with such a stepmom Now that Lei Lei is here, you need to get along well with him You should learn from him well Lei Lei is like a 1/4 blood relative to you He is basically like a real brother Did you hear that?"
